molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1567670,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,27400,inactive
CHEMBL133930,O=S(=O)([O-])c1cc(N=C=S)ccc1/C=C/c1ccc(N=C=S)cc1S(=O)(=O)[O-].[Na+].[Na+],750,active
CHEMBL5280045,N#Cc1ccc(/C=C/c2ccc(C#N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],1300,intermediate
CHEMBL5267208,O=S(=O)([O-])c1cc(I)ccc1/C=C/c1ccc(I)cc1S(=O)(=O)[O-].[K+].[K+],17500,inactive
CHEMBL5269627,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],10000,inactive
CHEMBL5281504,CC(=O)Nc1ccc(/C=C/c2ccc(NC(C)=O)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5284017,CCC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)CC)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5283877,O=C(Nc1ccc(/C=C/c2ccc(NC(=O)c3ccccc3)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1)c1ccccc1.[Na+].[Na+],50000,inactive
CHEMBL5277728,COc1ccc(C(=O)Nc2ccc(/C=C/c3ccc(NC(=O)c4ccc(OC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1.[Na+].[Na+],3000,intermediate
CHEMBL5275181,CCOC(=O)Nc1ccc(/C=C/c2ccc(NC(=O)OCC)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5287027,O=C(Nc1ccc(/C=C/c2ccc(NC(=O)Oc3ccccc3)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1)Oc1ccccc1.[Na+].[Na+],3800,intermediate
CHEMBL133930,O=S(=O)([O-])c1cc(N=C=S)ccc1/C=C/c1ccc(N=C=S)cc1S(=O)(=O)[O-].[Na+].[Na+],900,active
CHEMBL5280045,N#Cc1ccc(/C=C/c2ccc(C#N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],4900,intermediate
CHEMBL5267208,O=S(=O)([O-])c1cc(I)ccc1/C=C/c1ccc(I)cc1S(=O)(=O)[O-].[K+].[K+],34000,inactive
CHEMBL5287526,O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5269627,[N-]=[N+]=Nc1ccc(/C=C/c2ccc(N=[N+]=[N-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],21500,inactive
CHEMBL5267296,N#Cc1ccc(CCc2ccc(C#N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],50000,inactive
CHEMBL5287615,CC(=O)Nc1ccc(/C=C/c2ccc(N=C=S)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],29000,inactive
CHEMBL5272279,N#Cc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],20000,inactive
